"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"WIP: CodeInspector: Automated LLM-Supported CS1-Level Code Assessment","E. Imhmed; E. Ceh-Varela; L. Scherer; G. Candal; I. Sanjaya","Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA",2025 IEEE Frontiers in Education Conference (FIE),"13 Jan 2026","2025","","","1","5","This research-to-practice WIP paper presents CodeInspector—an automated assessment system for CS1-level Java assignments. Designed for scalability and modularity, CodeInspector streamlines and standardizes code assessment, promoting a more equitable learning environment. Our preliminary findings suggest that CodeInspector is promising. It reduces instructors' assessment workload while providing students with immediate, formative feedback that supports an iterative learning process. Additionally, CodeInspector offers students insights into their performance through error-weighted densities benchmarked against class-wide averages.","2377-634X","979-8-3315-0105-1","10.1109/FIE63693.2025.11328429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328429","automated assessment;feedback;code quality;software testing and automation;large language models","Software testing;Java;Codes;Automation;Scalability;Large language models;Benchmark testing;Iterative methods","","","","28","IEEE","13 Jan 2026","2-5 Nov. 2025","2-5 Nov. 2025","IEEE","IEEE Conferences"
"LLM Prompt Engineering for Automated White-Box Integration Test Generation in REST APIs","A. M. Rincon; A. M. R. Vincenzi; J. P. Faria","Campus Paraíso do Tocantins, Federal Institute of Tocantins (IFTO), Paraíso do Tocantins, Brazil; Department of Computing (DC), Federal University of São Carlos (UFSCar), São Carlos, Brazil; INESC TEC, Faculty of Engineering, University of Porto, Porto, Portugal","2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","16 Apr 2025","2025","","","21","28","This study explores prompt engineering for automated white-box integration testing of RESTful APIs using Large Language Models (LLMs). Four versions of prompts were designed and tested across three OpenAI models (GPT-3.5 Turbo, GPT-4 Turbo, and GPT-4o) to assess their impact on code coverage, token consumption, execution time, and financial cost. The results indicate that different prompt versions, especially with more advanced models, achieved up to 90% coverage, although at higher costs. Additionally, combining test sets from different models increased coverage, reaching 96% in some cases. We also compared the results with EvoMaster, a specialized tool for generating tests for REST APIs, where LLM-generated tests achieved comparable or higher coverage in the benchmark projects. Despite higher execution costs, LLMs demonstrated superior adaptability and flexibility in test generation.","2159-4848","979-8-3315-3467-7","10.1109/ICSTW64639.2025.10962507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10962507","Prompt Engineering;Large Language Models;Automated Integration Testing;White-Box Testing;REST APIs","Software testing;Costs;Codes;Large language models;Conferences;Restful API;Benchmark testing;Prompt engineering;Test pattern generators;Glass box","","1","","22","IEEE","16 Apr 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"Evaluation of an agent-based reinforcement learning framework for model-based testing","J. Ramírez-Méndez; C. Quesada-López","Graduate Program in Computing and Informatics, University of Costa Rica, San Pedro, Costa Rica; Department of Computer Science and Informatics, University of Costa Rica, San Pedro, Costa Rica","2024 IEEE VII Congreso Internacional en Inteligencia Ambiental, Ingeniería de Software y Salud Electrónica y Móvil (AmITIC)","12 Nov 2024","2024","","","1","7","This study evaluates an agent-based reinforcement learning framework for model-based testing (MBT). The framework’s performance was assessed on three key metrics: effectiveness and efficiency in achieving model coverage objectives, the quantity and uniqueness of generated test cases, and code coverage. The results show improved metrics for the framework compared to traditional testers in model coverage evaluation and test case metrics. Specifically, the framework achieved higher effectiveness and efficiency, generating a higher average number of test cases with a substantial proportion of unique cases, indicating more diverse and thorough testing. Additionally, the framework, along with random and greedy testers, achieved over 70% coverage across branch, method, and line code metrics. The framework showed slightly higher values in method and line coverage compared to other testers. The evaluation highlights the use of agent-based reinforcement learning to support model-based testing in planning test case generation, exploring models using multiple strategies, and learning guided by testing metrics. Future work will focus on further refining the framework learning model, including error coverage evaluation, and testing its applicability across different software systems.","","979-8-3503-6453-8","10.1109/AmITIC62658.2024.10747593","Universidad de Costa Rica; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10747593","evaluation;model-based testing (MBT);agent-based software testing (ABST);reinforcement learning (RL)","Measurement;Software testing;Codes;Calculators;Refining;Reinforcement learning;Software systems;Planning;Testing","","1","","29","IEEE","12 Nov 2024","25-27 Sept. 2024","25-27 Sept. 2024","IEEE","IEEE Conferences"
"LLMLOOP: Improving LLM-Generated Code and Tests Through Automated Iterative Feedback Loops","R. Ravi; D. Bradshaw; S. Ruberto; G. Jahangirova; V. Terragni","University of Auckland, Auckland, New Zealand; University of Auckland, Auckland, New Zealand; JRC European Commission, Ispra, Italy; King's College London, London, United Kingdom; University of Auckland, Auckland, New Zealand",2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),"31 Oct 2025","2025","","","930","934","Large Language Models (LLMs) are showing remarkable performance in generating source code, yet the generated code often has issues like compilation errors or incorrect code. Researchers and developers often face wasted effort in implementing checks and refining LLM-generated code, frequently duplicating their efforts. This paper presents LLMLOOP, a framework that automates the refinement of both source code and test cases produced by LLMs. LLMLOOP employs five iterative loops: resolving compilation errors, addressing static analysis issues, fixing test case failures, and improving test quality through mutation analysis. These loops ensure the generation of high-quality test cases that serve as both a validation mechanism and a regression test suite for the generated code. We evaluated llmloop on HumanEval-X, a recent benchmark of programming tasks. Results demonstrate the tool effectiveness in refining LLM-generated outputs. A demonstration video of the tool is available at https://youtu.be/2CLG9x1fsNI.","2576-3148","979-8-3315-9587-6","10.1109/ICSME64153.2025.00109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11185878","AI4SE;software testing;program synthesis;automated test generation;Large Language Models","Software testing;Feedback loop;Codes;Source coding;Large language models;Refining;Static analysis;Iterative methods;Test pattern generators;Videos","","2","","21","IEEE","31 Oct 2025","7-12 Sept. 2025","7-12 Sept. 2025","IEEE","IEEE Conferences"
"Fastbot: A Multi-Agent Model-Based Test Generation System : Beijing Bytedance Network Technology Co., Ltd.","T. Cai; Z. Zhang; P. Yang","Product RD & Infrastructure, Bytedance Network Technology, Beijing, China; Product RD & Infrastructure, Bytedance Network Technology, Beijing, China; Product RD & Infrastructure, Bytedance Network Technology, Beijing, China",2020 IEEE/ACM 15th International Conference on Automation of Software Test (AST),"24 Jul 2023","2020","","","93","96","Model-based test (MBT) generation techniques for automated GUI testing are of great value for app testing. Existing GUI model-based testing tools may fall into cyclic operations and run out of resources, when applied to apps with industrial complexity and scalability. In this work, we present a multi-agent GUI MBT system named Fastbot. Fastbot performs model construction on the server end. It applies multi-agent collaboration mechanism to speed up the model construction procedure. The proposed approach was applied on more than 20 applications from Bytedance with more than 1500 million monthly active users. Higher code coverage in less testing time is achieved with comparison of three other automated testing tools including Droidbot, Humanoid and Android Monkey.","2833-9061","978-1-4503-7957-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10186507","Model-based GUI testing;dynamic DAG exploration;multi-agent collaboration;automatic testing;traversal algorithm","Software testing;Heuristic algorithms;Software algorithms;Collaboration;Software;Test pattern generators;Servers","","6","","7","","24 Jul 2023","5-11 Oct. 2020","5-11 Oct. 2020","IEEE","IEEE Conferences"
"Large Language Model-Enhanced Test Case Generation*","Q. Zhang; R. Kang; Y. Liu; X. Cao","Software Product Research & Development Center, NARI Information & Communication Technology Co., Ltd., NanJing, China; Software Product Research & Development Center, NARI Information & Communication Technology Co., Ltd., NanJing, China; Software Product Research & Development Center, NARI Information & Communication Technology Co., Ltd., NanJing, China; Software Product Research & Development Center, NARI Information & Communication Technology Co., Ltd., NanJing, China","2025 4th International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)","20 Jan 2026","2025","","","793","797","Software testing is essential for ensuring software quality, with test case generation being a core yet labor-intensive task. Traditional methods often suffer from low efficiency, inadequate coverage, and poor adaptability to evolving requirements. Recent advances in Large Language Models (LLMs) offer promising capabilities for automated test generation through their proficiency in code understanding and synthesis. However, challenges such as hallucination, lack of domain-specific context, and output inconsistency limit their direct applicability. This paper analyzes the limitations of conventional testing approaches and proposes an improved LLM-based method that integrates structured prompt engineering with Retrieval-Augmented Generation (RAG). By retrieving relevant historical test cases and requirements, our approach enhances contextual awareness and guides the model to produce more accurate and semantically meaningful test cases. Experiments on real-world software modules evaluate the method in terms of code coverage, pass rate, and generation efficiency. Results demonstrate that the proposed approach significantly outperforms baseline methods, achieving higher test quality and reliability while reducing manual effort. This work highlights the effectiveness of context-aware prompting in leveraging LLMs for practical, intelligent test automation.","","979-8-3315-6491-9","10.1109/CBASE67452.2025.11335495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11335495","Large Language Models;Test Case Generation;Software Testing;Prompt Engineering;Retrieval-Augmented Generation","Software testing;Codes;Large language models;Retrieval augmented generation;Software quality;Manuals;Software reliability;Prompt engineering;Test pattern generators;Software engineering","","","","10","IEEE","20 Jan 2026","24-26 Oct. 2025","24-26 Oct. 2025","IEEE","IEEE Conferences"
"Evaluating Correct-Consistency and Robustness in Code-Generating LLMs","S. Honarvar","Department of Computing, Imperial College London, London, UK","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","20 May 2025","2025","","","797","800","Ensuring the reliability of large language models (LLMs) for code generation is crucial for their safe integration into software engineering practices, especially in safety-critical domains. Despite advances in LLM tuning, they frequently generate incorrect code, raising concerns about robustness and trustworthiness. This PhD research introduces Turbulence, a novel benchmark and evaluation framework designed to assess both the correct-consistency and robustness of LLMs through a structured coding question neighbourhood approach. By evaluating model performance across sets of semantically related but non-equivalent coding tasks, Turbulence identifies discontinuities in LLM generalisation, revealing patterns of success and failure that standard correctness evaluations often overlook. Applied to 22 instruction-tuned LLMs across Python coding question neighbourhoods, the benchmark highlights significant variability in correctness, including error patterns persisting even under deterministic settings. Future work will extend the question neighbourhood concept to Capture The Flag (CTF) challenges, enabling a deeper analysis of model reasoning capabilities in progressively complex tasks. This extension has attracted interest from the UK AI Safety Institute, which recognises the frame-work's potential for advancing rigorous evaluation methodologies in the context of safe and trusted AI for software engineering.","2159-4848","979-8-3315-0814-2","10.1109/ICST62969.2025.10988971","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10988971","Large Language Models;Correct-consistency;Robustness;Evaluation;Code Generation","Software testing;Codes;Large language models;Benchmark testing;Robustness;Encoding;Software reliability;Tuning;Standards;Software engineering","","","","39","IEEE","20 May 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"Automated Functionality and Security Evaluation of Large Language Models","M. Ding; Y. Shen; M. Chen","Shanghai Key Laboratory of Computer Software Testing and Evaluating Shanghai Development Center of Computer Software Technology, Shanghai, China; Shanghai Key Laboratory of Computer Software Testing and Evaluating Shanghai Development Center of Computer Software Technology, Shanghai, China; Shanghai Key Laboratory of Computer Software Testing and Evaluating Shanghai Development Center of Computer Software Technology, Shanghai, China",2024 9th IEEE International Conference on Smart Cloud (SmartCloud),"24 Jun 2024","2024","","","37","41","Natural language processing (NLP) is rapidly developing. A series of Large Language Models (LLMs) have emerged, represented by ChatGPT, which have made significant breakthroughs in natural language understanding and generation, enabling fluent dialogue with humans, understanding human intentions, and completing complex tasks. However, in addition to the fairness and toxicity of traditional language models, some new problems, including hallucination, have also emerged in LLMs, making them hard to use. Evaluating LLMs manually is challenging due to subjectivity and inefficiency. In this paper, we focused on the fuzzy matching, toxicity detection, and hallucination detection in the evaluation of LLMs automatically, and fine-tune the Mixtral-8x7B Model, which can be deployed in private cloud environment, and prove the effectiveness of our method through experiments.","","979-8-3503-8950-0","10.1109/SmartCloud62736.2024.00014","Science and Technology Commission of Shanghai Municipality; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10566308","LLM;evaluation;fuzzy matching;toxicity;hallucination","Cloud computing;Toxicology;Accuracy;Graphics processing units;Chatbots;Security;Task analysis","","2","","23","IEEE","24 Jun 2024","10-12 May 2024","10-12 May 2024","IEEE","IEEE Conferences"
"Evaluating the Effectiveness of Neuroevolution for Automated GUI-Based Software Testing","D. Zimmermann; P. Deubel; A. Koziolek","Software Engineering (SE), FZI Research Center for Information Technology, Karlsruhe, Germany; Software Engineering (SE), FZI Research Center for Information Technology, Karlsruhe, Germany; KASTEL - Institute of Information Security and Dependability, Karlsruhe Institute of Technology, Karlsruhe, Germany",2023 38th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),"2 Nov 2023","2023","","","119","126","As software systems become increasingly complex, testing has become an essential component of the development process to ensure the quality of the final product. However, manual testing can be costly and time-consuming due to the need for human intervention. This constrains the number of test cases that can be run within a given timeframe and, as a result, limits the ability to detect defects in software in a timely manner. Automated testing, on the other hand, can reduce the cost and time associated with testing, but traditional approaches have limitations. These include the inability to thoroughly explore the entire state space of software or process the high-dimensional input space of graphical user interfaces (GUIs). In this study, we propose a new approach for automated GUI-based software testing utilizing neuroevolution (NE), a branch of machine learning that employs evolutionary algorithms to train artificial neural networks with multiple hidden layers of neurons. NE offers a scalable alternative to established deep reinforcement learning methods and provides higher robustness to parameter influences and improved handling of sparse rewards. The agents are trained to explore software and identify errors while being rewarded for high test coverage. We evaluate our approach using a realistic benchmark software application and compare it to monkey testing, a widely adopted automated software testing method.","2151-0849","979-8-3503-3032-8","10.1109/ASEW60602.2023.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298672","UI Testing;Test Automation;Deep Learning;Neuroevolution","Software testing;Training;Neurons;Reinforcement learning;Parallel processing;Software systems;Robustness","","2","","17","IEEE","2 Nov 2023","11-15 Sept. 2023","11-15 Sept. 2023","IEEE","IEEE Conferences"
"Improving the Readability of Automatically Generated Tests Using Large Language Models","M. Biagiola; G. Ghislotti; P. Tonella","Software Institute - Università della Svizzera italiana, Lugano, Switzerland; Software Institute - Università della Svizzera italiana, Lugano, Switzerland; Software Institute - Università della Svizzera italiana, Lugano, Switzerland","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","20 May 2025","2025","","","162","173","Search-based test generators are effective at producing unit tests with high coverage. However, such automatically generated tests have no meaningful test and variable names, making them hard to understand and interpret by developers. On the other hand, large language models (LLMs) can generate highly readable test cases, but they are not able to match the effectiveness of search-based generators, in terms of achieved code coverage. In this paper, we propose to combine the effectiveness of search-based generators with the readability of LLM generated tests. Our approach focuses on improving test and variable names produced by search-based tools, while keeping their semantics (i.e., their coverage) unchanged. Our evaluation on nine industrial and open source LLMs show that our readability improvement transformations are overall semantically-preserving and stable across multiple repetitions. Moreover, a human study with ten professional developers, show that our LLM-improved tests are as readable as developer-written tests, regardless of the LLM employed.","2159-4848","979-8-3315-0814-2","10.1109/ICST62969.2025.10989020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10989020","Large Language Models;Software Testing;Readability","Software testing;Hands;Codes;Large language models;Semantics;Generators","","1","","59","IEEE","20 May 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"Evaluating Large Language Model Robustness using Combinatorial Testing","J. Chandrasekaran; A. R. Patel; E. Lanus; L. J. Freeman","Sanghani Center for Artificial Intelligence & Data Analytics, Virginia Tech, Arlington, VA, USA; NA; National Security Institute, Virginia Tech, Arlington, VA, USA; National Security Institute, Virginia Tech, Arlington, VA, USA","2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","16 Apr 2025","2025","","","300","309","Recent advancements in large language models (LLMs) have demonstrated remarkable proficiency in understanding and generating human-like text, leading to widespread adoption across domains. Given LLM’s versatile capabilities, current evaluation practices assess LLMs across a wide variety of tasks, including answer generation, sentiment analysis, text completion, and question and answers, to name a few. Multiple choice questions (MCQ) have emerged as a widely used evaluation task to assess LLM’s understanding and reasoning across various subject areas. However, studies from the literature have revealed that LLMs exhibit sensitivity to the ordering of options in MCQ tasks, with performance variations based on option sequence, thus underscoring the robustness concerns in LLM performance.This work presents a combinatorial testing-based framework for systematic and comprehensive robustness assessment of pre-trained LLMs. By leveraging the sequence covering array, the framework constructs test sets by systematically swapping the order of options, which are then used in ascertaining the robustness of LLMs. We performed an experimental evaluation using the Measuring Massive Multitask Language Understanding (MMLU) dataset, a widely used MCQ dataset and evaluated the robustness of GPT 3.5 Turbo, a pre-trained LLM. Results suggest the framework can effectively identify numerous robustness issues with a relatively minimal number of tests.","2159-4848","979-8-3315-3467-7","10.1109/ICSTW64639.2025.10962520","U.S. Department of Defense; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10962520","Testing AI;Combinatorial Testing;Testing LLM;LLM Robustness;LLM Evaluation;Option Order Swapping","Sentiment analysis;Systematics;Sensitivity;Large language models;Combinatorial testing;Conferences;Robustness;Cognition","","2","","30","IEEE","16 Apr 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"Mutation-based Consistency Testing for Evaluating the Code Understanding Capability of LLMs","Z. Li; D. Shin","University of Sheffield, Sheffield, UK; University of Sheffield, Sheffield, UK",2024 IEEE/ACM 3rd International Conference on AI Engineering – Software Engineering for AI (CAIN),"18 Jun 2024","2024","","","150","159","Large Language Models (LLMs) have shown remarkable capabilities in processing both natural and programming languages, which have enabled various applications in software engineering, such as requirement engineering, code generation, and software testing. However, existing code generation benchmarks do not necessarily assess the code understanding performance of LLMs, especially for the subtle inconsistencies that may arise between code and its semantics described in natural language.In this paper, we propose a novel method, called Mutation-based Consistency Testing (MCT), to systematically assess the code understanding performance of LLMs, particularly focusing on subtle differences between code and its descriptions, by introducing code mutations to existing code generation datasets. Code mutations are small changes that alter the semantics of the original code, creating a mismatch with the natural language description. MCT uses different types of code mutations, such as operator replacement and statement deletion, to generate inconsistent code-description pairs. MCT then uses these pairs to test the ability of LLMs to detect the inconsistencies correctly.We conduct a case study on the two popular LLMs, GPT-3.5 and GPT-4, using the state-of-the-art code generation benchmark, HumanEval-X, which consists of 164 programming problems written in six programming languages (Python, C++, Java, Go, JavaScript, and Rust). The results show that the LLMs have significant variations in their code understanding performance and that they have different strengths and weaknesses depending on the mutation type and language. We further explain conditions under which the LLMs result in correct answers using input characteristics (e.g., number of tokens) and investigate to what extent the test results can be improved using one-shot prompts (i.e., providing an additional example). Our MCT method and the case study results provide valuable implications for future research and development of LLM-based software engineering.CCS CONCEPTS• Software and its engineering → Software testing and debug-ging; Empirical software validation.","","979-8-4007-0591-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556138","Large Language Models;Software Engineering;Mutation Analysis","Software testing;Training;Analytical models;Codes;Sensitivity;Semantics;Benchmark testing","","2","","47","","18 Jun 2024","14-15 April 2024","14-15 April 2024","IEEE","IEEE Conferences"
"Intent-Driven Mobile GUI Testing with Autonomous Large Language Model Agents","J. Yoon; R. Feldt; S. Yoo","School of Computing, KAIST, Daejeon, Republic of Korea; Dept. of Computer Science & Engineering, Chalmers University, Gothenburg, Sweden; School of Computing, KAIST, Daejeon, Republic of Korea","2024 IEEE Conference on Software Testing, Verification and Validation (ICST)","27 Aug 2024","2024","","","129","139","GUI testing checks if a software system behaves as expected when users interact with its graphical interface, e.g., testing specific functionality or validating relevant use case scenarios. Currently, deciding what to test at this high level is a manual task since automated GUI testing tools target lower level adequacy metrics such as structural code coverage or activity coverage. We propose DroidAgent, an autonomous GUI testing agent for Android, for semantic, intent-driven automation of GUI testing. It is based on Large Language Models and support mechanisms such as long- and short-term memory. Given an Android app, DroidAgent sets relevant task goals and subsequently tries to achieve them by interacting with the app. Our empirical evaluation of DroidAgent using 15 apps from the Themis benchmark shows that it can set up and perform realistic tasks, with a higher level of autonomy. For example, when testing a messaging app, DroidAgent created a second account and added a first account as a friend, testing a realistic use case, without human intervention. On average, DroidAgent achieved 61% activity coverage, compared to 51 % for current state-of-the-art GUI testing techniques. Further, manual analysis shows that 317 out of the 547 autonomously created tasks are realistic and relevant to app functionalities, and also that DroidAgent interacts deeply with the apps and covers more features.","2159-4848","979-8-3503-0818-1","10.1109/ICST60714.2024.00020","National Research Foundation of Korea (NRF); Korean Government MSIT(grant numbers:RS-2023-00208998,2022-0-00995); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638557","software testing;GUI testing;test automation;artificial intelligence;large language model","Software testing;Measurement;Automation;Large language models;Semantics;Manuals;Software systems","","14","","36","IEEE","27 Aug 2024","27-31 May 2024","27-31 May 2024","IEEE","IEEE Conferences"
"Turbulence: Systematically and Automatically Testing Instruction-Tuned Large Language Models for Code","S. Honarvar; M. van der Wilk; A. F. Donaldson","Department of Computing, Imperial College London, London, UK; Department of Computer Science, University of Oxford, Oxford, UK; Department of Computing, Imperial College London, London, UK","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","20 May 2025","2025","","","80","91","We present a method for systematically evaluating the correctness and robustness of instruction-tuned large language models (LLMs) for code generation via a new benchmark, Turbulence. Turbulence consists of a large set of natural language question templates, each of which is a programming problem, parameterised so that it can be asked in many different forms. Each question template has an associated test oracle that judges whether a code solution returned by an LLM is correct. Thus, from a single question template, it is possible to ask an LLM a neighbourhood of very similar programming questions, and assess the correctness of the result returned for each question. This allows gaps in an LLM's code generation abilities to be identified, including anomalies where the LLM correctly solves almost all questions in a neighbourhood but fails for particular parameter instantiations. We present experiments against five LLMs from OpenAI, Cohere and Meta, each at two temperature configurations. Our findings show that, across the board, Turbulence is able to reveal gaps in LLM reasoning ability. This goes beyond merely highlighting that LLMs sometimes produce wrong code (which is no surprise): by systematically identifying cases where LLMs are able to solve some problems in a neighbourhood but do not manage to generalise to solve the whole neighbourhood, our method is effective at highlighting robustness issues. We present data and examples that shed light on the kinds of mistakes that LLMs make when they return incorrect code results.","2159-4848","979-8-3315-0814-2","10.1109/ICST62969.2025.10989005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10989005","Large language models;correctness;robustness;AI evaluation;code generation","Software testing;Codes;Large language models;Natural languages;Programming;Benchmark testing;Robustness;Cognition","","1","","71","IEEE","20 May 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"Using Reinforcement Learning for Security Testing: A Systematic Mapping Study","T. Ahmad; M. Butkovic; D. Truscan","Dept. of Information Technology, Åbo Akademi University, Turku, Finland; Dept. of Information Technology, Åbo Akademi University, Turku, Finland; Dept. of Information Technology, Åbo Akademi University, Turku, Finland","2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","16 Apr 2025","2025","","","208","216","Security of software systems has become increasingly important due to the advancement in technology that occurs on a daily basis and due to the interconnectivity that the Internet network system provides. The manual testing process is time-consuming process and inefficient, especially for very large and complex systems. Reinforcement learning has shown promising results in different test generation approaches due to its ability to optimize the test generation process towards relevant parts of the system. A considerable body of work has been developed in recent years to exploit reinforcement learning for security test generation. This study provides a list of approaches and tools for security test generation using Reinforcement Learning (RL). By searching popular research publication databases, a list of 47 relevant studies has been identified and classified according to the type of approach, RL algorithm, application domain and publication metadata.","2159-4848","979-8-3315-3467-7","10.1109/ICSTW64639.2025.10962455","Business Finland; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10962455","security testing;test generation;AI-assisted software testing;reinforcement learning;systematic mapping study","Software testing;Systematics;Software algorithms;Reinforcement learning;Software systems;Robustness;Classification algorithms;Security;Test pattern generators;Testing","","1","","70","IEEE","16 Apr 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"Assured LLM-Based Software Engineering","N. Alshahwan; M. Harman; I. Harper; A. Marginean; S. Sengupta; E. Wang","Meta Platforms Inc., Menlo Park, California, USA; Meta Platforms Inc., Menlo Park, California, USA; Meta Platforms Inc., Menlo Park, California, USA; Meta Platforms Inc., Menlo Park, California, USA; Meta Platforms Inc., Menlo Park, California, USA; Meta Platforms Inc., Menlo Park, California, USA","2024 IEEE/ACM 2nd International Workshop on Interpretability, Robustness, and Benchmarking in Neural Software Engineering (InteNSE)","10 Sep 2024","2024","","","7","12","In this paper we address the following question: How can we use Large Language Models (LLMs) to improve code independently of a human, while ensuring that the improved code(1)does not regress the properties of the original code ?(2)improves the original in a verifiable and measurable way ?To address this question, we advocate Assured LLM-Based Software Engineering; a generate-and-test approach, inspired by Genetic Improvement. Assured LLMSE applies a series of semantic filters that discard code that fails to meet these twin guarantees. This overcomes the potential problem of LLM’s propensity to hallucinate. It allows us to generate code using LLMs, independently of any human. The human plays the role only of final code reviewer, as they would do with code generated by other human engineers.This paper is an outline of the content of the keynote by Mark Harman at the International Workshop on Interpretability, Robustness, and Benchmarking in Neural Software Engineering, Monday 15th April 2024, Lisbon, Portugal.","","979-8-4007-0564-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10669832","Large Language Models (LLMs);Genetic Improvement (GI);Search Based Software Engineering (SBSE);Llama;CodeLlama;Automated Code Generation","Codes;Filters;Large language models;Conferences;Semantics;Benchmark testing;Genetics","","","","41","","10 Sep 2024","15-15 April 2024","15-15 April 2024","IEEE","IEEE Conferences"
"Business Scenario Driven Reinforcement Learning Testing Method","L. Cai; J. Wang","Shanghai Key Laboratory of Computer, Software Testing and Evaluating, School of Information Science and Engineering, East China University of Science and Technology, Shanghai, China; Shanghai Key Laboratory of Computer, Software Testing and Evaluating, School of Information Science and Engineering, East China University of Science and Technology, Shanghai, China","2023 26th ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)","28 Aug 2023","2023","","","158","165","Reinforcement learning has been successfully applied in software testing, but the existing testing methods cannot perform effective testing according to the characteristics of applications, and using outdated interactive experience during training, resulting in inefficient testing. In this paper, we propose BSDRTesting. Firstly, the demonstration experience of human users is collected according to the functional scenarios and business logic of each application, and combining reinforcement learning and imitation learning to maximize rewards while imitating user behavior, experience replay aims to sample experiences from the agent's self-exploration and expert demonstrations to improve sampling efficiency. At the same time, according to the input rules, the black-box testing method is used to fully test the input events, and finally an experience filtering mechanism is proposed, and the reward value and TD-Error are used as the basis for priority sampling. The experimental results on 10 open source applications show BSDRTesting has achieved significant improvements in code coverage and branch coverage compared with existing methods.","","979-8-3503-4586-5","10.1109/SNPD-Winter57765.2023.10223736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10223736","Business Scenario;Reinforcement Learning;Testing Method","Training;Software testing;Codes;Filtering;Closed box;Reinforcement learning;Behavioral sciences","","","","20","IEEE","28 Aug 2023","5-7 July 2023","5-7 July 2023","IEEE","IEEE Conferences"
